4
# Original familiar arena stats from Vladjimir's arena data
# http://www.therye.org/familiars/
#
# none - does nothing
# stat0 - vollyball-like
# stat1 - sombrero-like
# item0 - Item Drop
# meat0 - Meat Drop
# combat0 - Physical Attack
# combat1 - Elemental Attack
# drop - special drop
# block - potato-like
# delevel - barrrnacle-like
# hp0 - restore hp during combat
# mp0 - restore mp during combat
# meat1 - drops meat during combat
# stat2 - grants stats during combat
# other0 - does other things during combat
# hp1 - restore hp after combat
# mp1 - restore mp after combat
# stat3 - grants stats after combat
# other1 - does other things after combat
# passive - passive effect
# underwater - breaths underwater
# variable - varies according to equipment or other factors.
#
# no.	name	image	type	larva	item	CM	SH	OC	H&S	attributes (optional)

1	Mosquito	familiar1.gif	combat0,hp0	mosquito larva	hypodermic needle	2	1	3	0	animal,bug,eyes,wings,quick,biting,flying
2	Leprechaun	familiar2.gif	meat0	leprechaun hatchling	Meat detector	1	3	0	2	hands,clothes,eyes
3	Levitating Potato	familiar3.gif	block	potato sprout	many-eyed glasses	0	1	2	3	eyes
4	Angry Goat	familiar4.gif	combat0,combat1	goat	prosthetic forehead	3	0	2	1	animal,eyes,quick,biting
5	Sabre-Toothed Lime	familiar5.gif	combat0	sabre-toothed lime cub	tiny shaker of salt	3	0	2	1	biting
6	Fuzzy Dice	familiar6.gif	combat0,delevel,meat1,mp0,hp0	fuzzy dice	meatcar model	2	2	2	2
7	Spooky Pirate Skeleton	familiar7.gif	combat1,delevel	spooky pirate skeleton	blundarrrbus	2	3	1	0	hands,eyes,undead,slayer
8	Barrrnacle	familiar8.gif	delevel,underwater	barrrnacle	sucky decal	0	2	1	3	animal
9	Howling Balloon Monkey	familiar9.gif	combat0,mp0	balloon monkey	tiny balloon knife	1	3	2	0	animal
10	Stab Bat	familiar10.gif	combat0	rewinged stab bat	shock collar	3	2	1	0	animal,eyes,wings,evil,quick,flying
11	Grue	familiar11.gif	combat1	grue egg	moonglasses	2	0	1	3	animal,eyes,evil,biting,flying
12	Blood-Faced Volleyball	familiar12.gif	stat0	blood-faced volleyball	palm-frond toupee	0	1	3	2	eyes
13
14	Ghuol Whelp	familiar14.gif	hp1,mp1	fertilized ghuol egg	tiny knife and fork	1	2	0	3	hands,eyes,undead,slayer,evil,biting
15	Baby Gravy Fairy	familiar15.gif	item0	pregnant mushroom	eye-pod	0	3	1	2	eyes,wings
